# English|Svenska|Dansk|Norsk bokmål|Deutsch
{count} train movements|{count} tågrörelser|{count} togbevægelser|{count} togbevegelser|{count} Zugbewegungen
Scanning for Wi-Fi …|Söker efter Wi-Fi …|Søger efter Wi-Fi …|Søker etter Wi-Fi …|WLAN wird gesucht …
Connected to {name}.|Ansluten till {name}.|Forbundet til {name}.|Tilkoblet {name}.|Mit {name} verbunden.
Connecting to {name} …|Ansluter till {name} …|Forbinder til {name} …|Kobler til {name} …|Verbindung zu {name} wird hergestellt …
Choose a network and enter its password.|Välj nätverk och ange lösenord.|Vælg netværk og angiv adgangskode.|Velg nettverk og angi passord.|Wähle ein Netzwerk und gib das Passwort ein.
No Wi-Fi networks found. Ethernet is still available.|Inga Wi-Fi-nätverk hittades. Ethernet kan fortfarande användas.|Ingen Wi-Fi-netværk fundet. Ethernet kan stadig bruges.|Ingen Wi-Fi-nettverk funnet. Ethernet kan fortsatt brukes.|Keine WLAN-Netzwerke gefunden. Ethernet kann weiterhin verwendet werden.
Wi-Fi connection failed. Check the password.|Wi-Fi-anslutningen misslyckades. Kontrollera lösenordet.|Wi-Fi-forbindelsen mislykkedes. Kontrollér adgangskoden.|Wi-Fi-tilkoblingen mislyktes. Kontroller passordet.|WLAN-Verbindung fehlgeschlagen. Prüfe das Passwort.
Searching for TrainMeet Server on the local network …|Söker efter TrainMeet Server på det lokala nätverket …|Søger efter TrainMeet Server på det lokale netværk …|Søker etter TrainMeet Server på det lokale nettverket …|TrainMeet Server wird im lokalen Netzwerk gesucht …
Found {name}. Press Connect to load the meet.|Hittade {name}. Tryck Anslut för att läsa träffen.|Fandt {name}. Tryk Forbind for at indlæse træffet.|Fant {name}. Trykk Koble til for å laste treffet.|{name} gefunden. Drücke Verbinden, um das Treffen zu laden.
Found {count} TrainMeet servers. Select one and connect.|Hittade {count} TrainMeet-servrar. Välj en och anslut.|Fandt {count} TrainMeet-servere. Vælg en og forbind.|Fant {count} TrainMeet-servere. Velg en og koble til.|{count} TrainMeet-Server gefunden. Wähle einen aus und verbinde dich.
No server found automatically. Enter the address or check the network.|Ingen server hittades automatiskt. Ange adressen eller kontrollera nätverket.|Ingen server fundet automatisk. Angiv adressen eller kontrollér netværket.|Ingen server funnet automatisk. Angi adressen eller kontroller nettverket.|Kein Server automatisch gefunden. Gib die Adresse ein oder prüfe das Netzwerk.
Contacting TrainMeet Server …|Kontaktar TrainMeet Server …|Kontakter TrainMeet Server …|Kontakter TrainMeet Server …|TrainMeet Server wird kontaktiert …
Found {name} with {count} stations.|Hittade {name} med {count} stationer.|Fandt {name} med {count} stationer.|Fant {name} med {count} stasjoner.|{name} mit {count} Betriebsstellen gefunden.
Server unreachable. Check the address, network and that TrainMeet Server is running.|Servern kunde inte nås. Kontrollera adress, nätverk och att TrainMeet Server är igång.|Serveren kunne ikke nås. Kontrollér adresse, netværk og at TrainMeet Server kører.|Serveren kunne ikke nås. Kontroller adresse, nettverk og at TrainMeet Server kjører.|Server nicht erreichbar. Prüfe Adresse, Netzwerk und ob TrainMeet Server läuft.
Pairing the terminal …|Parkopplar terminalen …|Parrer terminalen …|Parer terminalen …|Terminal wird gekoppelt …
Signing in …|Loggar in …|Logger ind …|Logger inn …|Anmeldung läuft …
The terminal is authorized on TrainMeet Server.|Terminalen har behörighet till TrainMeet Server.|Terminalen er godkendt på TrainMeet Server.|Terminalen er godkjent på TrainMeet Server.|Das Terminal ist auf TrainMeet Server autorisiert.
Sign-in failed.|Inloggningen misslyckades.|Login mislykkedes.|Innloggingen mislyktes.|Anmeldung fehlgeschlagen.
The terminal profile could not be saved.|Terminalprofilen kunde inte sparas.|Terminalprofilen kunne ikke gemmes.|Terminalprofilen kunne ikke lagres.|Das Terminalprofil konnte nicht gespeichert werden.
secured|låst|beskyttet|sikret|gesichert
Pair the terminal|Parkoppla terminalen|Par terminalen|Par terminalen|Terminal koppeln
Use the connection code from TrainMeet Server.|Använd anslutningskoden från TrainMeet Server.|Brug forbindelseskoden fra TrainMeet Server.|Bruk tilkoblingskoden fra TrainMeet Server.|Verwende den Verbindungscode von TrainMeet Server.
Remote access requires the server administrator account.|Extern anslutning kräver serverns administratörskonto.|Ekstern adgang kræver serverens administratorkonto.|Ekstern tilgang krever serverens administratorkonto.|Fernzugriff erfordert das Administratorkonto des Servers.
The terminal is paired and will be recognized automatically.|Terminalen är parkopplad och känns igen automatiskt.|Terminalen er parret og genkendes automatisk.|Terminalen er paret og gjenkjennes automatisk.|Das Terminal ist gekoppelt und wird automatisch erkannt.
Signed in as {name}.|Inloggad som {name}.|Logget ind som {name}.|Logget inn som {name}.|Angemeldet als {name}.
Pair the terminal again|Parkoppla terminalen igen|Par terminalen igen|Par terminalen på nytt|Terminal erneut koppeln
Sign in to continue|Logga in för att fortsätta|Log ind for at fortsætte|Logg inn for å fortsette|Anmelden, um fortzufahren
The terminal's previous authorization has expired. Enter the connection code from TrainMeet Server.|Terminalens tidigare behörighet gäller inte längre. Ange anslutningskoden från TrainMeet Server.|Terminalens tidligere adgang er udløbet. Angiv forbindelseskoden fra TrainMeet Server.|Terminalens tidligere tilgang er utløpt. Angi tilkoblingskoden fra TrainMeet Server.|Die bisherige Berechtigung des Terminals ist abgelaufen. Gib den Verbindungscode von TrainMeet Server ein.
Your station and terminal profile remain after signing in.|Din station och terminalprofil finns kvar efter inloggningen.|Din station og terminalprofil bevares efter login.|Stasjonen og terminalprofilen beholdes etter innlogging.|Deine Betriebsstelle und dein Terminalprofil bleiben nach der Anmeldung erhalten.
Connecting …|Ansluter …|Forbinder …|Kobler til …|Verbindung wird hergestellt …
Take {station} into service|Ta {station} i tjänst|Tag {station} i tjeneste|Ta {station} i tjeneste|Dienst an {station} aufnehmen
Check the context and start a shift before handling any train movements.|Kontrollera sammanhanget och starta ett trafikpass innan några tågrörelser hanteras.|Kontrollér oplysningerne og start en vagt, før togbevægelser håndteres.|Kontroller opplysningene og start en vakt før togbevegelser håndteres.|Prüfe die Angaben und beginne eine Schicht, bevor du Zugbewegungen bearbeitest.
· started|· startat|· startet|· startet|· begonnen
Operator|Operatör|Operatør|Operatør|Bediener
{count} open sections to take over|{count} pågående sträckor att ta över|{count} aktive strækninger at overtage|{count} aktive strekninger å overta|{count} offene Streckenabschnitte zu übernehmen
All sections clear|Alla sträckor fria|Alle strækninger frie|Alle strekninger frie|Alle Streckenabschnitte frei
Starting …|Startar …|Starter …|Starter …|Wird gestartet …
Take over the shift|Ta över trafikpasset|Overtag vagten|Overta vakten|Schicht übernehmen
Station handed over|Stationen är överlämnad|Stationen er overdraget|Stasjonen er overlevert|Betriebsstelle übergeben
Shift ended|Trafikpasset är avslutat|Vagten er afsluttet|Vakten er avsluttet|Schicht beendet
{name} handled {count} completed train movements during this shift.|{name} hanterade {count} avslutade tågrörelser under det här terminalpasset.|{name} håndterede {count} afsluttede togbevægelser under denne vagt.|{name} håndterte {count} avsluttede togbevegelser under denne vakten.|{name} hat in dieser Schicht {count} abgeschlossene Zugbewegungen bearbeitet.
The next operator can now take over.|Nästa operatör kan nu ta över.|Den næste operatør kan nu overtage.|Neste operatør kan nå overta.|Der nächste Bediener kann jetzt übernehmen.
The station is no longer staffed in TKL.|Stationen är inte längre bemannad i TKL.|Stationen er ikke længere bemandet i TKL.|Stasjonen er ikke lenger bemannet i TKL.|Die Betriebsstelle ist in TKL nicht mehr besetzt.
Needs attention|Kräver uppmärksamhet|Kræver opmærksomhed|Krever oppmerksomhet|Handlungsbedarf
active operational cases|aktiva trafikärenden|aktive driftssager|aktive driftssaker|aktive Betriebsvorgänge
Approve|Godkänn|Godkend|Godkjenn|Genehmigen
Deny|Neka|Afvis|Avvis|Ablehnen
Withdraw|Återkalla|Tilbagekald|Trekk tilbake|Zurückziehen
Waiting for clearance|Väntar på klarering|Afventer køretilladelse|Venter på kjøretillatelse|Wartet auf Fahrerlaubnis
Clearance requested|Begäran om klarering|Anmodning om køretilladelse|Forespørsel om kjøretillatelse|Fahrerlaubnis angefordert
Clearance granted|Klarering beviljad|Køretilladelse givet|Kjøretillatelse gitt|Fahrerlaubnis erteilt
Train waiting to depart|Tåg väntar på avgång|Tog venter på afgang|Tog venter på avgang|Zug wartet auf Abfahrt
Train on the line|Tåg på linjen|Tog på strækningen|Tog på strekningen|Zug auf der Strecke
Incoming train|Tåg på väg in|Ankommende tog|Innkommende tog|Einfahrender Zug
Hold the station name for five seconds to open terminal administration|Håll in stationsnamnet i fem sekunder för terminaladministration|Hold stationsnavnet i fem sekunder for terminaladministration|Hold stasjonsnavnet i fem sekunder for terminaladministrasjon|Betriebsstellennamen fünf Sekunden gedrückt halten, um die Terminalverwaltung zu öffnen
Messages|Meddelanden|Beskeder|Meldinger|Nachrichten
Tools|Verktyg|Værktøjer|Verktøy|Werkzeuge
Freight|Gods|Gods|Gods|Güterverkehr
Now|Nu|Nu|Nå|Jetzt
Theme|Tema|Tema|Tema|Darstellung
Run first-time setup again|Kör första installationen igen|Kør førstegangsopsætning igen|Kjør førstegangsoppsett igjen|Ersteinrichtung erneut ausführen
Software|Programvara|Software|Programvare|Software
The same A–D connections as the physical TMBox. All commands go through TrainMeet Server.|Samma A–D-anslutningar som den fysiska TMBoxen. Alla kommandon ska gå genom TrainMeet Server.|Samme A–D-forbindelser som den fysiske TMBox. Alle kommandoer går gennem TrainMeet Server.|Samme A–D-tilkoblinger som den fysiske TMBox. Alle kommandoer går gjennom TrainMeet Server.|Dieselben A–D-Anschlüsse wie an der physischen TMBox. Alle Befehle laufen über TrainMeet Server.
Open full TMBox simulation|Öppna full TMBox-simulering|Åbn fuld TMBox-simulering|Åpne full TMBox-simulering|Vollständige TMBox-Simulation öffnen
Shift started|Trafikpass startat|Vagt startet|Vakt startet|Schicht begonnen
Handover note|Överlämningsanteckning|Overdragelsesnotat|Overleveringsnotat|Übergabenotiz
Optional information for the next operator|Valfri information till nästa operatör|Valgfri information til næste operatør|Valgfri informasjon til neste operatør|Optionale Informationen für den nächsten Bediener
Hand over the station|Lämna över stationen|Overdrag stationen|Overlever stasjonen|Betriebsstelle übergeben
· revision|· revision|· revision|· revisjon|· Revision
Offline · last known state · operational actions blocked|Offline · visar senast kända läge · trafikåtgärder är spärrade|Offline · senest kendte tilstand · driftshandlinger er spærret|Frakoblet · sist kjente tilstand · driftshandlinger er sperret|Offline · letzter bekannter Stand · Betriebshandlungen gesperrt
No train movements|Inga tågrörelser|Ingen togbevægelser|Ingen togbevegelser|Keine Zugbewegungen
Open cases and the next trains|Pågående ärenden och de närmaste tågen|Aktive sager og de næste tog|Aktive saker og de neste togene|Offene Vorgänge und die nächsten Züge
Other train movements in time order|Övriga tågrörelser i tidsordning|Øvrige togbevægelser i tidsorden|Andre togbevegelser i tidsrekkefølge|Weitere Zugbewegungen in zeitlicher Reihenfolge
Archived train movements (|Arkiverade tågrörelser (|Arkiverede togbevægelser (|Arkiverte togbevegelser (|Archivierte Zugbewegungen (
No archived train movements.|Inga arkiverade tågrörelser.|Ingen arkiverede togbevægelser.|Ingen arkiverte togbevegelser.|Keine archivierten Zugbewegungen.
· on the line|· på linjen|· på strækningen|· på strekningen|· auf der Strecke
· departed|· avgått|· afgået|· avgått|· abgefahren
Prepare train|Ställ upp tåg|Klargør tog|Klargjør tog|Zug bereitstellen
Prepared|Uppställt|Klargjort|Klargjort|Bereitgestellt
This train has a note|Tåget har en anteckning|Toget har en note|Toget har et notat|Für diesen Zug liegt eine Notiz vor
# Cloud account and editor details
My account|Mitt konto|Min konto|Min konto|Mein Konto
Signed in as|Inloggad som|Logget ind som|Logget inn som|Angemeldet als
Repeat new password|Upprepa nytt lösenord|Gentag ny adgangskode|Gjenta nytt passord|Neues Passwort wiederholen
Password changed. Use the new password next time you sign in.|Lösenordet är ändrat. Använd det nya lösenordet nästa gång du loggar in.|Adgangskoden er ændret. Brug den nye ved næste login.|Passordet er endret. Bruk det nye neste gang du logger inn.|Passwort geändert. Verwende bei der nächsten Anmeldung das neue Passwort.
Edit user|Redigera användare|Rediger bruger|Rediger bruker|Benutzer bearbeiten
Name / username|Namn / användarnamn|Navn / brugernavn|Navn / brukernavn|Name / Benutzername
Leave blank to keep unchanged|Lämna tomt för att behålla|Lad stå tomt for at beholde|La stå tomt for å beholde|Leer lassen, um beizubehalten
At least 6 characters. The old password is never displayed.|Minst 6 tecken. Det gamla lösenordet visas aldrig.|Mindst 6 tegn. Den gamle adgangskode vises aldrig.|Minst 6 tegn. Det gamle passordet vises aldri.|Mindestens 6 Zeichen. Das alte Passwort wird nie angezeigt.
Required when changing an email address or someone else's password. Enter the password for|Krävs när du ändrar e-postadress eller någon annans lösenord. Ange lösenordet för|Kræves ved ændring af e-mailadresse eller en andens adgangskode. Angiv adgangskoden for|Kreves ved endring av e-postadresse eller en annens passord. Angi passordet for|Erforderlich bei Änderungen der E-Mail-Adresse oder des Passworts anderer Benutzer. Gib das Passwort ein für
Email and password change immediately when saved. Previous sessions and reset links are revoked.|E-post och lösenord ändras direkt när du sparar. Användarens gamla inloggningar och återställningslänkar avslutas.|E-mail og adgangskode ændres straks ved lagring. Tidligere login og nulstillingslinks ophæves.|E-post og passord endres straks ved lagring. Tidligere innlogginger og tilbakestillingslenker oppheves.|E-Mail und Passwort werden beim Speichern sofort geändert. Bisherige Sitzungen und Zurücksetzungslinks werden ungültig.
No password is sent by email.|Inget lösenord skickas via e-post.|Ingen adgangskode sendes via e-mail.|Ingen passord sendes via e-post.|Es wird kein Passwort per E-Mail versendet.
Organization|Organisationen|Organisationen|Organisasjonen|Organisation
users|användare|brugere|brukere|Benutzer
Click a user to edit their name, email, role and password.|Klicka på en användare för att ändra namn, e-post, roll och lösenord.|Klik på en bruger for at ændre navn, e-mail, rolle og adgangskode.|Klikk på en bruker for å endre navn, e-post, rolle og passord.|Klicke auf einen Benutzer, um Name, E-Mail, Rolle und Passwort zu ändern.
Member — builds and publishes meets|Medlem — bygger och publicerar träffar|Medlem — opretter og publicerer træf|Medlem — oppretter og publiserer treff|Mitglied — erstellt und veröffentlicht Treffen
Administrator — also users and settings|Administratör — även användare och inställningar|Administrator — også brugere og indstillinger|Administrator — også brukere og innstillinger|Administrator — auch Benutzer und Einstellungen
Owner — also software updates|Ägare — även programuppdatering|Ejer — også softwareopdatering|Eier — også programoppdatering|Eigentümer — auch Softwareupdates
The check sends nothing and can run at any time. Test emails are actually sent.|Kontrollen skickar ingenting och går att köra när som helst. Testmailet skickar på riktigt.|Kontrollen sender intet og kan køres når som helst. Testmailen sendes faktisk.|Kontrollen sender ingenting og kan kjøres når som helst. Testmeldingen sendes faktisk.|Die Prüfung versendet nichts und kann jederzeit ausgeführt werden. Test-E-Mails werden tatsächlich gesendet.
Ready to send. Sender|Klart att skicka. Avsändare|Klar til at sende. Afsender|Klar til å sende. Avsender|Versandbereit. Absender
, reply to|, svar till|, svar til|, svar til|, Antwort an
, via|, via|, via|, via|, über
queued ·|i kö ·|i kø ·|i kø ·|in Warteschlange ·
sent ·|skickade ·|sendte ·|sendte ·|gesendet ·
failed|misslyckade|mislykkede|mislykkede|fehlgeschlagen
Close without saving|Stäng utan att spara|Luk uden at gemme|Lukk uten å lagre|Ohne Speichern schließen
All names below belong to the same station. Select the code shown on the layout and TMBox. Other names identify the station during import.|Alla beteckningar nedan hör till samma station. Välj vilken som ska visas på banan och i TMBox. Övriga används för att känna igen stationen vid import.|Alle betegnelser nedenfor hører til samme station. Vælg den, der vises på banen og TMBox. Øvrige navne genkender stationen ved import.|Alle betegnelsene nedenfor tilhører samme stasjon. Velg den som vises på banen og TMBox. Andre navn identifiserer stasjonen ved import.|Alle folgenden Bezeichnungen gehören zur selben Betriebsstelle. Wähle die auf der Anlage und TMBox angezeigte Kennung. Andere Namen dienen zur Erkennung beim Import.
Names and codes|Beteckningar|Betegnelser|Betegnelser|Bezeichnungen
Station codes must contain 1–12 letters or digits. Select another code before removing the current one.|Stationskoden ska vara 1–12 bokstäver eller siffror. Välj en annan kod innan du tar bort den nuvarande.|Stationskoden skal være 1–12 bogstaver eller tal. Vælg en anden kode, før den nuværende fjernes.|Stasjonskoden må være 1–12 bokstaver eller tall. Velg en annen kode før den nåværende fjernes.|Die Betriebsstellenkennung muss 1–12 Buchstaben oder Ziffern enthalten. Wähle vor dem Entfernen der aktuellen Kennung eine andere aus.
Add a name or code|Lägg till en beteckning|Tilføj en betegnelse|Legg til en betegnelse|Bezeichnung hinzufügen
For example CDA or Charlottendal C|T.ex. CDA eller Charlottendal C|F.eks. CDA eller Charlottendal C|F.eks. CDA eller Charlottendal C|Zum Beispiel CDA oder Charlottendal C
Trains, tracks and connections are preserved. Saving updates the draft; publish a new version to distribute changes to TrainMeet Server.|Tåg, spår och kopplingar behålls. Spara uppdaterar utkastet; publicera en ny version när ändringarna ska hämtas av TrainMeet Server.|Tog, spor og forbindelser bevares. Gem opdaterer kladden; publicér en ny version for at sende ændringerne til TrainMeet Server.|Tog, spor og forbindelser beholdes. Lagre oppdaterer utkastet; publiser en ny versjon for å sende endringene til TrainMeet Server.|Züge, Gleise und Verbindungen bleiben erhalten. Speichern aktualisiert den Entwurf; veröffentliche eine neue Version, um Änderungen an TrainMeet Server zu verteilen.
Meet archive|Träffarkiv|Træfarkiv|Treffarkiv|Treffenarchiv
Meet name|Träffens namn|Træffets navn|Treffets navn|Name des Treffens
Example: A house full of trains|Exempel: Hela huset fullt med tåg|Eksempel: Huset fuldt af tog|Eksempel: Huset fullt av tog|Beispiel: Ein Haus voller Züge
Workflow|Arbetsgång|Arbejdsgang|Arbeidsflyt|Arbeitsablauf
From source documents to runtime package|Från underlag till driftpaket|Fra kildemateriale til driftspakke|Fra kildemateriale til driftspakke|Von Quelldokumenten zum Betriebspaket
About the meet|Om träffen|Om træffet|Om treffet|Über das Treffen
Name, dates, URL name and active operating day.|Namn, datum, URL-namn och aktiv trafikdag.|Navn, datoer, URL-navn og aktiv driftsdag.|Navn, datoer, URL-navn og aktiv driftsdag.|Name, Datum, URL-Name und aktiver Betriebstag.
Slug (URL)|Slug (URL)|Slug (URL)|Slug (URL)|URL-Kurzname
From date|Från och med|Fra og med|Fra og med|Ab Datum
Until date|Till och med|Til og med|Til og med|Bis einschließlich
Active operating day|Aktiv trafikdag|Aktiv driftsdag|Aktiv driftsdag|Aktiver Betriebstag
Time zone|Tidszon|Tidszone|Tidssone|Zeitzone
Operating session|Trafikspel|Driftsspil|Trafikkspill|Betriebsspiel
Default operating rules for all sections.|Grundregler som blir standard för alla sträckor.|Grundregler, der bliver standard for alle strækninger.|Grunnregler som blir standard for alle strekninger.|Grundregeln, die standardmäßig für alle Streckenabschnitte gelten.
Traffic side|Trafikriktning|Kørselsside|Kjøreside|Fahrseite
Left-hand running|Vänstertrafik|Venstrekørsel|Venstrekjøring|Linksverkehr
Right-hand running|Högertrafik|Højrekørsel|Høyrekjøring|Rechtsverkehr
Operating method|Trafikeringsmetod|Driftsmetode|Driftsmetode|Betriebsverfahren
Train reporting — request and confirm|Tåganmälan – begär och bekräfta|Togmelding — anmod og bekræft|Togmelding — be om og bekreft|Zugmeldung — anfordern und bestätigen
Automatic permission when the section is clear|Automatiskt medgivande när sträckan är ledig|Automatisk tilladelse når strækningen er fri|Automatisk tillatelse når strekningen er fri|Automatische Erlaubnis bei freiem Streckenabschnitt
Start time and rate sent to the local server.|Starttid och hastighet som skickas till den lokala servern.|Starttid og hastighed sendes til den lokale server.|Starttid og hastighet sendes til den lokale serveren.|Startzeit und Zeitfaktor für den lokalen Server.
Start time|Starttid|Starttid|Starttid|Startzeit
1× real time|1× verklig tid|1× virkelig tid|1× virkelig tid|1× Echtzeit
Save changes|Spara ändringar|Gem ændringer|Lagre endringer|Änderungen speichern
Server processing|Servern bearbetar|Serveren behandler|Serveren behandler|Server verarbeitet
queued|i kö|i kø|i kø|in Warteschlange
You can leave this page. Processing continues on the server.|Du kan lämna sidan. Arbetet fortsätter på servern.|Du kan forlade siden. Arbejdet fortsætter på serveren.|Du kan forlate siden. Arbeidet fortsetter på serveren.|Du kannst diese Seite verlassen. Die Verarbeitung läuft auf dem Server weiter.
PDF, JPEG or PNG · starts automatically on the server · up to 25 MB per file|PDF, JPEG eller PNG · servern startar automatiskt · upp till 25 MB per fil|PDF, JPEG eller PNG · serveren starter automatisk · op til 25 MB pr. fil|PDF, JPEG eller PNG · serveren starter automatisk · opptil 25 MB per fil|PDF, JPEG oder PNG · Server startet automatisch · bis 25 MB pro Datei
Choose files|Välj filer|Vælg filer|Velg filer|Dateien auswählen
Server import queue|Serverns importkö|Serverens importkø|Serverens importkø|Importwarteschlange des Servers
Search all data…|Sök i all data…|Søg i alle data…|Søk i alle data…|Alle Daten durchsuchen …
Sections|Sträckor|Strækninger|Strekninger|Streckenabschnitte
Imports|Importer|Importer|Importer|Importe
Review|Granskning|Gennemgang|Gjennomgang|Prüfung
movements|rörelser|bevægelser|bevegelser|Bewegungen
Sort time|Sorttid|Sorteringstid|Sorteringstid|Sortierzeit
Sorting time|Sorteringstid|Sorteringstid|Sorteringstid|Sortierzeit
Delete row|Ta bort rad|Slet række|Slett rad|Zeile löschen
The station code is the abbreviation shown on the layout and TMBox. Aliases are other names used in source documents.|Stationskoden är förkortningen som visas på banan och i TMBox. Alias är alternativa namn från underlagen.|Stationskoden er forkortelsen på banen og TMBox. Aliasser er alternative navne fra kildematerialet.|Stasjonskoden er forkortelsen på banen og TMBox. Aliaser er alternative navn fra kildematerialet.|Die Betriebsstellenkennung ist die Abkürzung auf der Anlage und TMBox. Aliase sind alternative Namen aus den Quelldokumenten.
Other names|Andra beteckningar|Andre betegnelser|Andre betegnelser|Weitere Bezeichnungen
None yet|Inga ännu|Ingen endnu|Ingen ennå|Noch keine
· Aliases|· Alias|· Aliasser|· Aliaser|· Aliase
Automatically derived layout overview|Automatiskt härledd banöversikt|Automatisk udledt baneoversigt|Automatisk utledet baneoversikt|Automatisch abgeleitete Anlagenübersicht
Layout derived from all train movements|Banmodell från alla tågrörelser|Banemodel fra alle togbevægelser|Banemodell fra alle togbevegelser|Anlagenmodell aus allen Zugbewegungen
timetable rows|tidtabellsrader|køreplansrækker|rutetabellrader|Fahrplanzeilen
confirmed sections|bevisade sträckor|bekræftede strækninger|bekreftede strekninger|nachgewiesene Streckenabschnitte
weak links|svaga samband|svage sammenhænge|svake sammenhenger|schwache Zusammenhänge
Cloud follows each train number and operating day through all station timetables. Stations are connected only when the same train appears at them consecutively. Main line and branches are placed automatically, independently of file upload order.|Cloud följer varje tågnummer och trafikdag genom samtliga stationstidtabeller. Två stationer kopplas bara ihop när samma tåg förekommer där efter varandra. Huvudlinje och grenar placeras sedan automatiskt; filernas uppladdningsordning styr inte banan.|Cloud følger hvert tognummer og hver driftsdag gennem alle stationskøreplaner. Stationer forbindes kun, når samme tog forekommer ved dem i rækkefølge. Hovedlinje og grene placeres automatisk, uafhængigt af filernes uploadrækkefølge.|Cloud følger hvert tognummer og hver driftsdag gjennom alle stasjonsrutetabeller. Stasjoner kobles bare sammen når samme tog forekommer der etter hverandre. Hovedlinje og grener plasseres automatisk, uavhengig av filenes opplastingsrekkefølge.|Cloud verfolgt jede Zugnummer und jeden Betriebstag durch alle Betriebsstellenfahrpläne. Betriebsstellen werden nur verbunden, wenn derselbe Zug dort unmittelbar nacheinander erscheint. Hauptstrecke und Zweige werden automatisch angeordnet, unabhängig von der Uploadreihenfolge.
Derived sections|Härledda sträckor|Udledte strækninger|Utledede strekninger|Abgeleitete Streckenabschnitte
Station A|Station A|Station A|Stasjon A|Betriebsstelle A
Station B|Station B|Station B|Stasjon B|Betriebsstelle B
Evidence|Underlag|Grundlag|Grunnlag|Nachweise
Operating mode|Trafikläge|Driftsform|Driftsmodus|Betriebsart
train sequences|tågkedjor|togkæder|togkjeder|Zugfolgen
Meet default|Träffens standard|Træffets standard|Treffets standard|Treffenstandard
Request and confirm|Begär och bekräfta|Anmod og bekræft|Be om og bekreft|Anfordern und bestätigen
Automatic when clear|Automatiskt när ledigt|Automatisk når fri|Automatisk når ledig|Automatisch bei freier Strecke
Four fixed ports|Fyra fasta portar|Fire faste porte|Fire faste porter|Vier feste Anschlüsse
One box per station|En låda per station|En boks pr. station|En boks per stasjon|Eine Box pro Betriebsstelle
A and B are on the left; C and D are on the right. The rails show whether the connected section is single or double track.|A och B sitter på lådans vänstra sida, C och D på den högra. Rälsen visar direkt om den kopplade sträckan är enkel- eller dubbelspår.|A og B sidder til venstre på boksen, C og D til højre. Skinnerne viser, om den tilsluttede strækning er enkelt- eller dobbeltsporet.|A og B sitter til venstre på boksen, C og D til høyre. Skinnene viser om den tilkoblede strekningen er enkelt- eller dobbeltsporet.|A und B befinden sich links an der Box, C und D rechts. Die Gleise zeigen, ob der verbundene Abschnitt ein- oder zweigleisig ist.
of 4 connected|av 4 kopplade|af 4 tilsluttet|av 4 tilkoblet|von 4 verbunden
Logical station box|Logisk stationsbox|Logisk stationsboks|Logisk stasjonsboks|Logische Betriebsstellenbox
Save TMBoxes|Spara TMBoxar|Gem TMBoxe|Lagre TMBoxer|TMBoxen speichern
Validating…|Validerar…|Validerer…|Validerer…|Wird geprüft …
Choose validity period|Välj giltighetstid|Vælg gyldighedsperiode|Velg gyldighetsperiode|Gültigkeitsdauer wählen
Review items|Granskningspunkter|Kontrolpunkter|Kontrollpunkter|Prüfpunkte
Check the corresponding timetable row before marking it reviewed.|Kontrollera motsvarande rad i tidtabellen innan du markerar klar.|Kontrollér den tilsvarende køreplansrække, før du markerer den som klar.|Kontroller tilsvarende rad i rutetabellen før du markerer den som klar.|Prüfe die entsprechende Fahrplanzeile, bevor du sie als geprüft markierst.
Mark reviewed|Markera kontrollerad|Markér kontrolleret|Marker kontrollert|Als geprüft markieren
New version|Ny version|Ny version|Ny versjon|Neue Version
Publish reviewed changes|Publicera granskade ändringar|Publicér gennemgåede ændringer|Publiser gjennomgåtte endringer|Geprüfte Änderungen veröffentlichen
Connected servers receive the new version automatically or at the next manual check. Nothing else is needed here.|Redan kopplade servrar hämtar den nya versionen automatiskt (eller vid nästa manuella kontroll) — inget mer att göra här.|Tilsluttede servere henter den nye version automatisk eller ved næste manuelle kontrol. Intet mere kræves her.|Tilkoblede servere henter den nye versjonen automatisk eller ved neste manuelle kontroll. Ingenting mer trengs her.|Verbundene Server laden die neue Version automatisch oder bei der nächsten manuellen Prüfung. Hier ist nichts weiter nötig.
Connect a new TrainMeet Server|Koppla en ny TrainMeet Server|Forbind en ny TrainMeet Server|Koble til en ny TrainMeet Server|Neuen TrainMeet Server verbinden
The code stays the same when you publish. Servers already connected never need it again.|Koden är stabil över tid — den ändras inte när du publicerar. Servrar som redan har kopplat sig behöver den aldrig igen.|Koden ændres ikke, når du publicerer. Servere, der allerede er tilsluttet, behøver den aldrig igen.|Koden endres ikke når du publiserer. Servere som allerede er tilkoblet trenger den aldri igjen.|Der Code bleibt beim Veröffentlichen gleich. Bereits verbundene Server benötigen ihn nicht erneut.
Valid until|Giltig till|Gyldig til|Gyldig til|Gültig bis
Generate new code|Generera ny kod|Generér ny kode|Generer ny kode|Neuen Code erstellen
Validity period|Giltighetstid|Gyldighedsperiode|Gyldighetsperiode|Gültigkeitsdauer
1–3650 days|1–3650 dagar|1–3650 dage|1–3650 dager|1–3650 Tage
The old code stops working immediately. Already connected servers are not affected.|Den gamla koden slutar fungera direkt. Redan kopplade servrar påverkas inte.|Den gamle kode holder straks op med at virke. Tilsluttede servere påvirkes ikke.|Den gamle koden slutter straks å virke. Tilkoblede servere påvirkes ikke.|Der alte Code wird sofort ungültig. Bereits verbundene Server sind nicht betroffen.
Published versions|Publicerade versioner|Publicerede versioner|Publiserte versjoner|Veröffentlichte Versionen
